building_id,building_type,zone,year,month,total_kwh,total_carbon_tonnes,total_cost_usd,total_ll97_penalty_usd,violation_rate_pct,solar_pct,yoy_kwh_change_pct
1,GOVERNMENT,MANHATTAN,2022,1,295.54,0.07,51.45,0.0,0.0,0.0,
1,GOVERNMENT,MANHATTAN,2022,2,353.58,0.08,61.029999999999994,0.0,0.0,0.0,
1,GOVERNMENT,MANHATTAN,2022,3,446.21,0.1,74.35000000000001,0.0,0.0,0.0,
1,GOVERNMENT,MANHATTAN,2022,4,315.7099999999999,0.07,57.540000000000006,0.0,0.0,0.0,
1,GOVERNMENT,MANHATTAN,2022,5,270.47,0.06,46.57,0.0,0.0,0.0,
1,GOVERNMENT,MANHATTAN,2022,6,268.49,0.06,46.580000000000005,0.0,0.0,0.0,
1,GOVERNMENT,MANHATTAN,2022,7,364.0,0.08,59.410000000000004,0.0,0.0,0.0,
1,GOVERNMENT,MANHATTAN,2022,8,449.90999999999997,0.1,74.09,0.0,0.0,0.0,
1,GOVERNMENT,MANHATTAN,2022,9,367.11,0.09,61.28,0.0,0.0,0.0,
1,GOVERNMENT,MANHATTAN,2022,10,394.74,0.09,62.709999999999994,0.0,0.0,0.0,
1,GOVERNMENT,MANHATTAN,2022,11,471.11999999999995,0.11,75.58,0.0,0.0,0.0,
1,GOVERNMENT,MANHATTAN,2022,12,363.61,0.08,66.99999999999999,0.0,0.0,0.0,
1,GOVERNMENT,MANHATTAN,2023,1,337.5,0.08,57.160000000000004,0.0,0.0,0.0,14.2
1,GOVERNMENT,MANHATTAN,2023,2,312.41999999999996,0.07,58.82000000000001,0.0,0.0,0.0,-11.64
1,GOVERNMENT,MANHATTAN,2023,3,483.28000000000003,0.11,85.07000000000001,0.0,0.0,0.0,8.31
1,GOVERNMENT,MANHATTAN,2023,4,276.6,0.06,47.769999999999996,0.0,0.0,0.0,-12.39
1,GOVERNMENT,MANHATTAN,2023,5,242.30999999999997,0.06,38.970000000000006,0.0,0.0,0.0,-10.41
1,GOVERNMENT,MANHATTAN,2023,6,667.9799999999998,0.16,113.25,0.0,0.0,0.0,148.79
1,GOVERNMENT,MANHATTAN,2023,7,424.58,0.1,67.85,0.0,0.0,0.0,16.64
1,GOVERNMENT,MANHATTAN,2023,8,552.0,0.13,92.73,0.0,0.0,0.0,22.69
1,GOVERNMENT,MANHATTAN,2023,9,308.93,0.07,51.10000000000001,0.0,0.0,0.0,-15.85
1,GOVERNMENT,MANHATTAN,2023,10,238.88999999999996,0.06,38.209999999999994,0.0,0.0,0.0,-39.48
1,GOVERNMENT,MANHATTAN,2023,11,279.96,0.07,43.64999999999999,0.0,0.0,0.0,-40.58
